lexicon,n_poetry,n_prose,mean_poetry,mean_prose,MWU_U,p_raw,cliffs_delta,p_holm,significant_0_05,matching_mode,run_id,topn
physical_desire,26,55,0.0021565978300218443,0.0006192778796474821,1275.0,1.5126789203424362e-08,0.7832167832167832,7.563394601712181e-08,True,lemma_only,A,20
love_and_desire,26,55,0.0036175119107132335,0.0014184186411236829,1252.0,5.719679142418546e-08,0.7510489510489511,2.2878716569674184e-07,True,lemma_only,A,20
lesbian_love,26,55,0.0017184090796525308,0.0009718471256228333,1134.0,2.2994225086030703e-05,0.586013986013986,6.89826752580921e-05,True,lemma_only,A,20
love,26,55,0.0017184090796525308,0.0009718471256228333,1134.0,2.2994225086030703e-05,0.586013986013986,6.89826752580921e-05,True,lemma_only,A,20
sapphism,26,55,0.0,0.0,715.0,1.0,0.0,1.0,False,lemma_only,A,20
physical_desire,26,55,0.003990574408354974,0.0013054508665321907,1264.0,2.8757296195965422e-08,0.7678321678321678,1.437864809798271e-07,True,lemma_only,B,40
love_and_desire,26,55,0.005886469113123021,0.002389746826995723,1219.0,3.5153823306045923e-07,0.7048951048951049,1.406152932241837e-06,True,lemma_only,B,40
lesbian_love,26,55,0.002249300253853415,0.001409662426374243,1103.0,8.854459792953233e-05,0.5426573426573427,0.00026563379378859696,True,lemma_only,B,40
love,26,55,0.002249300253853415,0.001409662426374243,1103.0,8.854459792953233e-05,0.5426573426573427,0.00026563379378859696,True,lemma_only,B,40
sapphism,26,55,0.0,0.0,715.0,1.0,0.0,1.0,False,lemma_only,B,40
physical_desire,26,55,0.0055137883220362826,0.0018614066971807863,1282.5,9.699877098250873e-09,0.7937062937062938,4.849938549125437e-08,True,lemma_only,C,60
love_and_desire,26,55,0.00801048034277018,0.003175867053747394,1247.0,7.58470406674021e-08,0.7440559440559441,3.033881626696084e-07,True,lemma_only,C,60
lesbian_love,26,55,0.0029193519727851846,0.0016600935442511594,1144.0,1.4590965143344631e-05,0.6,4.377289543003389e-05,True,lemma_only,C,60
love,26,55,0.0029193519727851846,0.0016600935442511594,1144.0,1.4590965143344631e-05,0.6,4.377289543003389e-05,True,lemma_only,C,60
sapphism,26,55,0.0,0.0,715.0,1.0,0.0,1.0,False,lemma_only,C,60
physical_desire,26,55,0.0021565978300218443,0.0006192778796474821,1275.0,1.5126789203424362e-08,0.7832167832167832,7.563394601712181e-08,True,lemma_plus_surface_backoff,A,20
love_and_desire,26,55,0.0036175119107132335,0.0014184186411236829,1252.0,5.719679142418546e-08,0.7510489510489511,2.2878716569674184e-07,True,lemma_plus_surface_backoff,A,20
lesbian_love,26,55,0.0017184090796525308,0.0009718471256228333,1134.0,2.2994225086030703e-05,0.586013986013986,6.89826752580921e-05,True,lemma_plus_surface_backoff,A,20
love,26,55,0.0017184090796525308,0.0009718471256228333,1134.0,2.2994225086030703e-05,0.586013986013986,6.89826752580921e-05,True,lemma_plus_surface_backoff,A,20
sapphism,26,55,0.0,0.0,715.0,1.0,0.0,1.0,False,lemma_plus_surface_backoff,A,20
physical_desire,26,55,0.003990574408354974,0.0013054508665321907,1264.0,2.8757296195965422e-08,0.7678321678321678,1.437864809798271e-07,True,lemma_plus_surface_backoff,B,40
love_and_desire,26,55,0.005886469113123021,0.002389746826995723,1219.0,3.5153823306045923e-07,0.7048951048951049,1.406152932241837e-06,True,lemma_plus_surface_backoff,B,40
lesbian_love,26,55,0.002249300253853415,0.001409662426374243,1103.0,8.854459792953233e-05,0.5426573426573427,0.00026563379378859696,True,lemma_plus_surface_backoff,B,40
love,26,55,0.002249300253853415,0.001409662426374243,1103.0,8.854459792953233e-05,0.5426573426573427,0.00026563379378859696,True,lemma_plus_surface_backoff,B,40
sapphism,26,55,0.0,0.0,715.0,1.0,0.0,1.0,False,lemma_plus_surface_backoff,B,40
physical_desire,26,55,0.0055137883220362826,0.0018614066971807863,1282.5,9.699877098250873e-09,0.7937062937062938,4.849938549125437e-08,True,lemma_plus_surface_backoff,C,60
love_and_desire,26,55,0.00801048034277018,0.003175867053747394,1247.0,7.58470406674021e-08,0.7440559440559441,3.033881626696084e-07,True,lemma_plus_surface_backoff,C,60
lesbian_love,26,55,0.0029193519727851846,0.0016600935442511594,1144.0,1.4590965143344631e-05,0.6,4.377289543003389e-05,True,lemma_plus_surface_backoff,C,60
love,26,55,0.0029193519727851846,0.0016600935442511594,1144.0,1.4590965143344631e-05,0.6,4.377289543003389e-05,True,lemma_plus_surface_backoff,C,60
sapphism,26,55,0.0,0.0,715.0,1.0,0.0,1.0,False,lemma_plus_surface_backoff,C,60
