topic,rank,word,word_lemma,word_pos,weight
0,1,commandant,commandant,NOUN,0.012325280708144235
0,2,mer,mer,NOUN,0.007470635450118754
0,3,navire,navire,NOUN,0.0064314502295498175
0,4,langelle,langelle,NOUN,0.0063754033422874475
0,5,officiers,officier,NOUN,0.005762602606396722
0,6,bord,bord,NOUN,0.005476823935230916
0,7,lamiral,lamiral,ADJ,0.005351156737469919
0,8,lequipage,lequipage,NOUN,0.0051751897312444315
0,9,resort,resort,NOUN,0.005054527265659094
0,10,matelots,matelot,NOUN,0.004703012477292442
0,11,capitaine,capitaine,NOUN,0.0046392077688997045
0,12,vent,vent,NOUN,0.004377081099697054
0,13,barque,barque,NOUN,0.004019980931815641
0,14,baleiniere,baleiniere,NOUN,0.003958224749588316
0,15,bientot,bientot,ADV,0.0038989341607367735
0,16,marine,marine,NOUN,0.0038950123367314754
0,17,bateau,bateau,NOUN,0.003782339237484541
0,18,hommes,homme,NOUN,0.0037683970709020656
0,19,vaisseau,vaisseau,NOUN,0.003683218887522859
0,20,batiment,batiment,NOUN,0.0036225431602892044
0,21,voiles,voile,NOUN,0.0035686227527278757
0,22,fleuve,fleuve,NOUN,0.0032889692117211112
0,23,cap,cap,NOUN,0.003252783200176968
0,24,officier,officier,NOUN,0.0032281025083823636
0,25,toullec,toullec,NOUN,0.003222860860925935
0,26,port,port,NOUN,0.003213903749706855
0,27,tempete,tempete,NOUN,0.003197240971855695
0,28,navires,navire,NOUN,0.0030876943759162888
0,29,lofficier,lofficier,ADJ,0.00306636940264724
0,30,vaisseaux,vaisseau,NOUN,0.0030246073565968977
0,31,cote,cote,NOUN,0.0029597686980726992
0,32,cotes,cote,NOUN,0.002920439398715705
0,33,leau,leau,NOUN,0.002900687881934461
0,34,lescadre,lescadre,VERB,0.0028998130133443987
0,35,pont,pont,NOUN,0.0028715081017910973
0,36,dunette,dunette,NOUN,0.002793607072028837
0,37,camoens,camoen,ADJ,0.0026964332312210642
0,38,lieutenant,lieutenant,NOUN,0.002691671995094237
0,39,neptune,neptune,ADJ,0.00266546705867029
0,40,quart,quart,NOUN,0.00265759761997226
0,41,tribord,tribord,NOUN,0.0026480788267964957
0,42,anglais,anglais,NOUN,0.0026472047218460653
0,43,moment,moment,NOUN,0.0026417780587549636
0,44,trois,trois,NUM,0.0026128215983756762
0,45,deau,deau,NOUN,0.0026122858449953283
0,46,rade,rade,NOUN,0.0026016684125729815
0,47,ensuite,ensuite,ADV,0.0025859615153044275
0,48,marins,marin,NOUN,0.0025475513220170626
0,49,enfin,enfin,ADV,0.002537913821727874
0,50,embarcation,embarcation,NOUN,0.002537866350672228
0,51,vagues,vague,NOUN,0.002503228871382946
0,52,milieu,milieu,NOUN,0.0024942836144285258
0,53,ville,ville,NOUN,0.0024227451357130936
0,54,bouee,bouee,NOUN,0.0024033943532002213
0,55,batiments,batiment,NOUN,0.002393938540447069
0,56,commandants,commandant,NOUN,0.00238636087714269
0,57,plage,plage,NOUN,0.002375189452937125
0,58,ferdinand,ferdinand,NOUN,0.00235873879789983
0,59,cependant,cependant,ADV,0.002341962472381254
0,60,jusqua,jusqua,NOUN,0.002337393873202349
0,61,mat,mat,NOUN,0.0023212520655229146
0,62,heures,heure,NOUN,0.0023148260203717
0,63,ordres,ordre,NOUN,0.0023103302424630065
0,64,afin,afin,ADV,0.002309314872524913
0,65,passagers,passager,NOUN,0.002274047040437322
0,66,babord,babord,NOUN,0.002246939790361963
0,67,cents,cent,NOUN,0.0022418550515191566
0,68,canot,canot,NOUN,0.0022387075626342937
0,69,troupes,troupe,NOUN,0.002223625130109765
0,70,milady,milady,NOUN,0.0022037789814152824
0,71,jours,jour,NOUN,0.002177168085498264
0,72,large,large,ADJ,0.0021731749039390585
0,73,general,general,NOUN,0.0021397371529380533
0,74,terre,terre,NOUN,0.0021348954919797464
0,75,chef,chef,NOUN,0.0020907198536403433
0,76,cabine,cabine,NOUN,0.0020776748169477133
0,77,varna,varna,NOUN,0.002067478311841854
0,78,amiral,amiral,NOUN,0.0020614816607997864
0,79,quatre,quatre,NUM,0.002060754877859193
0,80,guerre,guerre,NOUN,0.002059789463497014
