lexicon,lemma,pos,multiword
lesbian_love,amoureux,ADJ,0
lesbian_love,lesbien,ADJ,0
lesbian_love,passionnel,ADJ,0
lesbian_love,saphique,ADJ,0
lesbian_love,sapphique,ADJ,0
lesbian_love,amant,NOUN,0
lesbian_love,amour,NOUN,0
lesbian_love,amoureux,NOUN,0
lesbian_love,eros,NOUN,0
lesbian_love,lesbianisme,NOUN,0
lesbian_love,lesbien,NOUN,0
lesbian_love,passion,NOUN,0
lesbian_love,psappha,PROPN,0
lesbian_love,sapho,PROPN,0
lesbian_love,sappho,PROPN,0
lesbian_love,aimer,VERB,0
love,amoureux,ADJ,0
love,passionnel,ADJ,0
love,amant,NOUN,0
love,amour,NOUN,0
love,amoureux,NOUN,0
love,eros,NOUN,0
love,passion,NOUN,0
love,aimer,VERB,0
love_and_desire,affectueux,ADJ,0
love_and_desire,amoureux,ADJ,0
love_and_desire,charnel,ADJ,0
love_and_desire,calin,ADJ,0
love_and_desire,lascif,ADJ,0
love_and_desire,passionnel,ADJ,0
love_and_desire,sensuel,ADJ,0
love_and_desire,sexuel,ADJ,0
love_and_desire,seducteur,ADJ,0
love_and_desire,tendre,ADJ,0
love_and_desire,erotique,ADJ,0
love_and_desire,tendrement,ADV,0
love_and_desire,affection,NOUN,0
love_and_desire,amant,NOUN,0
love_and_desire,amour,NOUN,0
love_and_desire,amoureux,NOUN,0
love_and_desire,ardeur,NOUN,0
love_and_desire,baiser,NOUN,0
love_and_desire,bouche,NOUN,0
love_and_desire,caresse,NOUN,0
love_and_desire,chair,NOUN,0
love_and_desire,corps,NOUN,0
love_and_desire,coit,NOUN,0
love_and_desire,calin,NOUN,0
love_and_desire,douceur,NOUN,0
love_and_desire,desir,NOUN,0
love_and_desire,embrassade,NOUN,0
love_and_desire,enlacement,NOUN,0
love_and_desire,eros,NOUN,0
love_and_desire,extase,NOUN,0
love_and_desire,fantasme,NOUN,0
love_and_desire,frisson,NOUN,0
love_and_desire,hymen,NOUN,0
love_and_desire,hymenee,NOUN,0
love_and_desire,jouissance,NOUN,0
love_and_desire,langueur,NOUN,0
love_and_desire,levre,NOUN,0
love_and_desire,passion,NOUN,0
love_and_desire,peau,NOUN,0
love_and_desire,plaisir,NOUN,0
love_and_desire,poitrine,NOUN,0
love_and_desire,sein,NOUN,0
love_and_desire,sexe,NOUN,0
love_and_desire,sexualite,NOUN,0
love_and_desire,seducteur,NOUN,0
love_and_desire,seduction,NOUN,0
love_and_desire,tendresse,NOUN,0
love_and_desire,volupte,NOUN,0
love_and_desire,erotisme,NOUN,0
love_and_desire,etreinte,NOUN,0
love_and_desire,aimer,VERB,0
love_and_desire,baiser,VERB,0
love_and_desire,caresser,VERB,0
love_and_desire,caliner,VERB,0
love_and_desire,desirer,VERB,0
love_and_desire,embraser,VERB,0
love_and_desire,embrasser,VERB,0
love_and_desire,enlacer,VERB,0
love_and_desire,etreindre,VERB,0
physical_desire,affectueux,ADJ,0
physical_desire,charnel,ADJ,0
physical_desire,calin,ADJ,0
physical_desire,lascif,ADJ,0
physical_desire,passionnel,ADJ,0
physical_desire,sensuel,ADJ,0
physical_desire,sexuel,ADJ,0
physical_desire,seducteur,ADJ,0
physical_desire,tendre,ADJ,0
physical_desire,erotique,ADJ,0
physical_desire,tendrement,ADV,0
physical_desire,affection,NOUN,0
physical_desire,amant,NOUN,0
physical_desire,ardeur,NOUN,0
physical_desire,baiser,NOUN,0
physical_desire,bouche,NOUN,0
physical_desire,caresse,NOUN,0
physical_desire,chair,NOUN,0
physical_desire,corps,NOUN,0
physical_desire,coit,NOUN,0
physical_desire,calin,NOUN,0
physical_desire,douceur,NOUN,0
physical_desire,desir,NOUN,0
physical_desire,embrassade,NOUN,0
physical_desire,enlacement,NOUN,0
physical_desire,eros,NOUN,0
physical_desire,extase,NOUN,0
physical_desire,fantasme,NOUN,0
physical_desire,frisson,NOUN,0
physical_desire,hymen,NOUN,0
physical_desire,hymenee,NOUN,0
physical_desire,jouissance,NOUN,0
physical_desire,langueur,NOUN,0
physical_desire,levre,NOUN,0
physical_desire,passion,NOUN,0
physical_desire,peau,NOUN,0
physical_desire,plaisir,NOUN,0
physical_desire,poitrine,NOUN,0
physical_desire,sein,NOUN,0
physical_desire,sexe,NOUN,0
physical_desire,sexualite,NOUN,0
physical_desire,seducteur,NOUN,0
physical_desire,seduction,NOUN,0
physical_desire,tendresse,NOUN,0
physical_desire,volupte,NOUN,0
physical_desire,erotisme,NOUN,0
physical_desire,etreinte,NOUN,0
physical_desire,baiser,VERB,0
physical_desire,caresser,VERB,0
physical_desire,caliner,VERB,0
physical_desire,desirer,VERB,0
physical_desire,embraser,VERB,0
physical_desire,embrasser,VERB,0
physical_desire,enlacer,VERB,0
physical_desire,etreindre,VERB,0
sapphism,lesbien,ADJ,0
sapphism,saphique,ADJ,0
sapphism,sapphique,ADJ,0
sapphism,lesbianisme,NOUN,0
sapphism,lesbien,NOUN,0
sapphism,psappha,PROPN,0
sapphism,sapho,PROPN,0
sapphism,sappho,PROPN,0
