lexicon,n_poetry,n_prose,mean_poetry,mean_prose,MWU_U,p_raw,cliffs_delta,p_holm,significant_0_05,matching_mode,run_id,topn
sapphism,33,64,0.0001991939373035033,9.83611171338065e-06,1608.0,7.202562149656526e-08,0.5227272727272727,3.601281074828263e-07,True,lemma_only,A,20
lesbian_love,33,64,0.0011529303527570724,0.000480696051975919,1532.0,0.0002864128693814711,0.45075757575757575,0.0011456514775258844,True,lemma_only,A,20
physical_desire,33,64,0.003518006025008512,0.0023674107218213188,1471.0,0.0015987647139840896,0.39299242424242425,0.004796294141952269,True,lemma_only,A,20
love,33,64,0.000953736415453569,0.0004708599402625383,1443.0,0.0031946057366670252,0.3664772727272727,0.0063892114733340504,True,lemma_only,A,20
love_and_desire,33,64,0.004024712177289476,0.0027609736259016668,1413.0,0.006637550397946819,0.3380681818181818,0.006637550397946819,True,lemma_only,A,20
sapphism,33,64,0.0001991939373035033,9.83611171338065e-06,1608.0,7.202562149656526e-08,0.5227272727272727,3.601281074828263e-07,True,lemma_only,B,40
physical_desire,33,64,0.005126184145282301,0.0034927976408674595,1490.0,0.000964082244645002,0.4109848484848485,0.003856328978580008,True,lemma_only,B,40
lesbian_love,33,64,0.0013093971564836918,0.0007398311016839647,1425.0,0.005005977811857581,0.3494318181818182,0.015017933435572743,True,lemma_only,B,40
love_and_desire,33,64,0.005667927155167661,0.004104273594235473,1394.0,0.010174841336432242,0.32007575757575757,0.020349682672864484,True,lemma_only,B,40
love,33,64,0.0011102032191801885,0.000729994989970584,1344.0,0.028544603837346822,0.2727272727272727,0.028544603837346822,True,lemma_only,B,40
sapphism,33,64,0.00024411727637734318,3.4010590511211084e-05,1662.0,7.823503122088786e-07,0.5738636363636364,3.911751561044393e-06,True,lemma_only,C,60
physical_desire,33,64,0.007014249405548544,0.004262470752212605,1619.0,1.8434863702368072e-05,0.5331439393939394,7.373945480947229e-05,True,lemma_only,C,60
love_and_desire,33,64,0.007879466267257669,0.005077006866365766,1587.0,5.3589903794719164e-05,0.5028409090909091,0.00016076971138415748,True,lemma_only,C,60
lesbian_love,33,64,0.0017080359420010298,0.0009976488624034157,1497.0,0.0007959066908954609,0.41761363636363635,0.0015918133817909219,True,lemma_only,C,60
love,33,64,0.0014639186656236864,0.0009636382718922047,1411.0,0.006945401522667432,0.33617424242424243,0.006945401522667432,True,lemma_only,C,60
sapphism,33,64,0.0001991939373035033,9.83611171338065e-06,1608.0,7.202562149656526e-08,0.5227272727272727,3.601281074828263e-07,True,lemma_plus_surface_backoff,A,20
lesbian_love,33,64,0.0011529303527570724,0.000480696051975919,1532.0,0.0002864128693814711,0.45075757575757575,0.0011456514775258844,True,lemma_plus_surface_backoff,A,20
physical_desire,33,64,0.003518006025008512,0.0023674107218213188,1471.0,0.0015987647139840896,0.39299242424242425,0.004796294141952269,True,lemma_plus_surface_backoff,A,20
love,33,64,0.000953736415453569,0.0004708599402625383,1443.0,0.0031946057366670252,0.3664772727272727,0.0063892114733340504,True,lemma_plus_surface_backoff,A,20
love_and_desire,33,64,0.004024712177289476,0.0027609736259016668,1413.0,0.006637550397946819,0.3380681818181818,0.006637550397946819,True,lemma_plus_surface_backoff,A,20
sapphism,33,64,0.0001991939373035033,9.83611171338065e-06,1608.0,7.202562149656526e-08,0.5227272727272727,3.601281074828263e-07,True,lemma_plus_surface_backoff,B,40
physical_desire,33,64,0.005126184145282301,0.0034927976408674595,1490.0,0.000964082244645002,0.4109848484848485,0.003856328978580008,True,lemma_plus_surface_backoff,B,40
lesbian_love,33,64,0.0013093971564836918,0.0007398311016839647,1425.0,0.005005977811857581,0.3494318181818182,0.015017933435572743,True,lemma_plus_surface_backoff,B,40
love_and_desire,33,64,0.005667927155167661,0.004104273594235473,1394.0,0.010174841336432242,0.32007575757575757,0.020349682672864484,True,lemma_plus_surface_backoff,B,40
love,33,64,0.0011102032191801885,0.000729994989970584,1344.0,0.028544603837346822,0.2727272727272727,0.028544603837346822,True,lemma_plus_surface_backoff,B,40
sapphism,33,64,0.00024411727637734318,3.4010590511211084e-05,1662.0,7.823503122088786e-07,0.5738636363636364,3.911751561044393e-06,True,lemma_plus_surface_backoff,C,60
physical_desire,33,64,0.007014249405548544,0.004262470752212605,1619.0,1.8434863702368072e-05,0.5331439393939394,7.373945480947229e-05,True,lemma_plus_surface_backoff,C,60
love_and_desire,33,64,0.007879466267257669,0.005077006866365766,1587.0,5.3589903794719164e-05,0.5028409090909091,0.00016076971138415748,True,lemma_plus_surface_backoff,C,60
lesbian_love,33,64,0.0017080359420010298,0.0009976488624034157,1497.0,0.0007959066908954609,0.41761363636363635,0.0015918133817909219,True,lemma_plus_surface_backoff,C,60
love,33,64,0.0014639186656236864,0.0009636382718922047,1411.0,0.006945401522667432,0.33617424242424243,0.006945401522667432,True,lemma_plus_surface_backoff,C,60
