lexicon,n_poetry,n_prose,mean_poetry,mean_prose,MWU_U,p_raw,cliffs_delta,p_holm,significant_0_05,matching_mode,run_id,topn
physical_desire,41,109,0.002701547454675291,0.0008204752834952973,3765.0,1.1044388110088713e-10,0.6849407026180353,5.522194055044356e-10,True,lemma_only,A,20
love_and_desire,41,109,0.003033557042001932,0.0011511515918437459,3612.0,6.370644201383549e-09,0.6164690087267846,2.5482576805534197e-08,True,lemma_only,A,20
sapphism,41,109,0.0006914493146744638,0.00022172513032166214,3330.5,3.770688219991256e-06,0.49049004251510403,1.1312064659973767e-05,True,lemma_only,A,20
lesbian_love,41,109,0.0012213407699095632,0.0006894969094583428,2990.0,0.0014519175965902386,0.3381069590512419,0.0029038351931804773,True,lemma_only,A,20
love,41,109,0.0005298914552350994,0.0004677717791366806,2442.0,0.3826214171335123,0.09286193779368987,0.3826214171335123,False,lemma_only,A,20
sapphism,41,109,0.0012117914757509905,0.00029708386055528503,3757.0,1.3729274980608872e-10,0.681360483329604,6.864637490304436e-10,True,lemma_only,B,40
physical_desire,41,109,0.0034030222509461253,0.001611113612889039,3485.0,1.3555371638136277e-07,0.5596330275229358,5.422148655254511e-07,True,lemma_only,B,40
love_and_desire,41,109,0.004417490548800682,0.0021956070517012345,3415.0,6.491551125401623e-07,0.5283061087491608,1.9474653376204867e-06,True,lemma_only,B,40
lesbian_love,41,109,0.0024516328549540546,0.001153353335174177,3371.0,1.6639925196026482e-06,0.5086149026627881,3.3279850392052964e-06,True,lemma_only,B,40
love,41,109,0.001239841379203064,0.0008562694746188919,2940.0,0.002949116791541427,0.3157305884985455,0.002949116791541427,True,lemma_only,B,40
sapphism,41,109,0.0013746949129438228,0.0003345616733425518,3854.0,8.653634437494543e-12,0.7247706422018348,4.326817218747271e-11,True,lemma_only,C,60
love_and_desire,41,109,0.006135963984300994,0.0029060656094210234,3705.0,5.686081041043812e-10,0.6580890579547998,2.2744324164175246e-09,True,lemma_only,C,60
physical_desire,41,109,0.0046470817755430395,0.002147967395497501,3675.0,1.2602253017158557e-09,0.644663235623182,3.7806759051475674e-09,True,lemma_only,C,60
lesbian_love,41,109,0.0031761795197103614,0.0014371726553445052,3555.0,2.6010822249662567e-08,0.5909599462967107,5.2021644499325135e-08,True,lemma_only,C,60
love,41,109,0.0018014846067665386,0.0011026109820019537,3267.0,1.3495280978411752e-05,0.4620720519131797,1.3495280978411752e-05,True,lemma_only,C,60
physical_desire,41,109,0.002701547454675291,0.0008204752834952973,3765.0,1.1044388110088713e-10,0.6849407026180353,5.522194055044356e-10,True,lemma_plus_surface_backoff,A,20
love_and_desire,41,109,0.003033557042001932,0.0011511515918437459,3612.0,6.370644201383549e-09,0.6164690087267846,2.5482576805534197e-08,True,lemma_plus_surface_backoff,A,20
sapphism,41,109,0.0006914493146744638,0.00022172513032166214,3330.5,3.770688219991256e-06,0.49049004251510403,1.1312064659973767e-05,True,lemma_plus_surface_backoff,A,20
lesbian_love,41,109,0.0012213407699095632,0.0006894969094583428,2990.0,0.0014519175965902386,0.3381069590512419,0.0029038351931804773,True,lemma_plus_surface_backoff,A,20
love,41,109,0.0005298914552350994,0.0004677717791366806,2442.0,0.3826214171335123,0.09286193779368987,0.3826214171335123,False,lemma_plus_surface_backoff,A,20
sapphism,41,109,0.0012117914757509905,0.00029708386055528503,3757.0,1.3729274980608872e-10,0.681360483329604,6.864637490304436e-10,True,lemma_plus_surface_backoff,B,40
physical_desire,41,109,0.0034030222509461253,0.001611113612889039,3485.0,1.3555371638136277e-07,0.5596330275229358,5.422148655254511e-07,True,lemma_plus_surface_backoff,B,40
love_and_desire,41,109,0.004417490548800682,0.0021956070517012345,3415.0,6.491551125401623e-07,0.5283061087491608,1.9474653376204867e-06,True,lemma_plus_surface_backoff,B,40
lesbian_love,41,109,0.0024516328549540546,0.001153353335174177,3371.0,1.6639925196026482e-06,0.5086149026627881,3.3279850392052964e-06,True,lemma_plus_surface_backoff,B,40
love,41,109,0.001239841379203064,0.0008562694746188919,2940.0,0.002949116791541427,0.3157305884985455,0.002949116791541427,True,lemma_plus_surface_backoff,B,40
sapphism,41,109,0.0013746949129438228,0.0003345616733425518,3854.0,8.653634437494543e-12,0.7247706422018348,4.326817218747271e-11,True,lemma_plus_surface_backoff,C,60
love_and_desire,41,109,0.006135963984300994,0.0029060656094210234,3705.0,5.686081041043812e-10,0.6580890579547998,2.2744324164175246e-09,True,lemma_plus_surface_backoff,C,60
physical_desire,41,109,0.0046470817755430395,0.002147967395497501,3675.0,1.2602253017158557e-09,0.644663235623182,3.7806759051475674e-09,True,lemma_plus_surface_backoff,C,60
lesbian_love,41,109,0.0031761795197103614,0.0014371726553445052,3555.0,2.6010822249662567e-08,0.5909599462967107,5.2021644499325135e-08,True,lemma_plus_surface_backoff,C,60
love,41,109,0.0018014846067665386,0.0011026109820019537,3267.0,1.3495280978411752e-05,0.4620720519131797,1.3495280978411752e-05,True,lemma_plus_surface_backoff,C,60
