word,n_poetry,n_prose,freq_poetry,freq_prose,total,share_poetry
c'est,69,542,0.004867724867724868,0.007844045327582963,611,0.11292962356792144
qu'elle,42,542,0.002962962962962963,0.007844045327582963,584,0.07191780821917808
d'un,76,440,0.005361552028218695,0.006367859675528604,516,0.14728682170542637
qu'il,35,442,0.0024691358024691358,0.0063968044922355525,477,0.07337526205450734
femme,34,358,0.002398589065255732,0.005181122190543728,392,0.08673469387755102
j'ai,50,336,0.003527336860670194,0.004862729206767298,386,0.12953367875647667
d'une,51,323,0.0035978835978835977,0.004674587898172135,374,0.13636363636363635
amour,82,276,0.005784832451499118,0.003994384705558852,358,0.22905027932960895
l'amour,52,274,0.0036684303350970017,0.003965439888851904,326,0.15950920245398773
vie,24,298,0.0016931216931216932,0.004312777689335283,322,0.07453416149068323
encore,24,261,0.0016931216931216932,0.0037772985802567403,285,0.08421052631578947
yeux,60,216,0.004232804232804233,0.003126040204350406,276,0.21739130434782608
aime,23,251,0.0016225749559082893,0.0036325744967219994,274,0.08394160583941605
fait,33,238,0.002328042328042328,0.0034444331881268364,271,0.12177121771217712
deux,21,249,0.0014814814814814814,0.0036036296800150513,270,0.07777777777777778
toujours,31,224,0.0021869488536155205,0.003241819471178199,255,0.12156862745098039
n'est,31,205,0.0021869488536155205,0.0029668437124621906,236,0.13135593220338984
tant,18,215,0.0012698412698412698,0.003111567795996932,233,0.07725321888412018
qu'on,42,183,0.002962962962962963,0.0026484507286857607,225,0.18666666666666668
jeune,14,209,0.0009876543209876543,0.0030247333458760873,223,0.06278026905829596
cœur,71,143,0.005008818342151676,0.0020695543945467966,214,0.3317757009345794
trop,31,183,0.0021869488536155205,0.0026484507286857607,214,0.14485981308411214
petite,4,192,0.0002821869488536155,0.0027787024038670276,196,0.02040816326530612
mieux,17,161,0.001199294532627866,0.0023300577449093304,178,0.09550561797752809
homme,7,171,0.0004938271604938272,0.0024747818284440713,178,0.03932584269662921
parce,5,173,0.0003527336860670194,0.0025037266451510194,178,0.028089887640449437
oui,19,157,0.0013403880070546738,0.002272168111495434,176,0.10795454545454546
faire,4,170,0.0002821869488536155,0.0024603094200905972,174,0.022988505747126436
jour,45,125,0.0031746031746031746,0.0018090510441842627,170,0.2647058823529412
mort,57,110,0.004021164021164021,0.001591964918882151,167,0.3413173652694611
grand,26,140,0.0018342151675485008,0.002026137169486374,166,0.1566265060240964
peut-etre,14,152,0.0009876543209876543,0.0021998060697280635,166,0.08433734939759036
femmes,16,149,0.001128747795414462,0.0021563888446676414,165,0.09696969696969697
ah,25,136,0.001763668430335097,0.001968247536072478,161,0.15527950310559005
moins,19,129,0.0013403880070546738,0.001866940677598159,148,0.12837837837837837
seul,19,129,0.0013403880070546738,0.001866940677598159,148,0.12837837837837837
qu'un,31,114,0.0021869488536155205,0.0016498545522960475,145,0.21379310344827587
pourquoi,19,126,0.0013403880070546738,0.0018235234525377367,145,0.1310344827586207
seule,22,121,0.0015520282186948853,0.0017511614107703663,143,0.15384615384615385
fille,12,131,0.0008465608465608466,0.0018958854943051074,143,0.08391608391608392
petit,13,126,0.0009171075837742504,0.0018235234525377367,139,0.09352517985611511
alors,6,131,0.0004232804232804233,0.0018958854943051074,137,0.043795620437956206
l'on,22,113,0.0015520282186948853,0.0016353821439425735,135,0.16296296296296298
temps,12,123,0.0008465608465608466,0.0017801062274773146,135,0.08888888888888889
dire,5,129,0.0003527336860670194,0.001866940677598159,134,0.03731343283582089
c'etait,7,124,0.0004938271604938272,0.0017945786358307886,131,0.05343511450381679
fois,8,121,0.000564373897707231,0.0017511614107703663,129,0.06201550387596899
voix,41,87,0.002892416225749559,0.001259099526752247,128,0.3203125
nuit,44,84,0.0031040564373897707,0.0012156823016918246,128,0.34375
chose,5,117,0.0003527336860670194,0.0016932717773564699,122,0.040983606557377046
pourtant,16,105,0.001128747795414462,0.0015196028771147807,121,0.1322314049586777
voir,18,101,0.0012698412698412698,0.0014617132437008842,119,0.15126050420168066
qu'une,39,80,0.0027513227513227515,0.0011577926682779282,119,0.3277310924369748
d'etre,12,106,0.0008465608465608466,0.0015340752854682547,118,0.1016949152542373
ame,54,63,0.0038095238095238095,0.0009117617262688684,117,0.46153846153846156
n'ai,5,109,0.0003527336860670194,0.001577492510528677,114,0.043859649122807015
aimer,7,106,0.0004938271604938272,0.0015340752854682547,113,0.061946902654867256
premier,11,100,0.0007760141093474427,0.0014472408353474102,111,0.0990990990990991
n'a,12,99,0.0008465608465608466,0.0014327684269939361,111,0.10810810810810811
amant,17,93,0.001199294532627866,0.0013459339768730914,110,0.15454545454545454
