word,tfidf_poetry,tfidf_prose,diff_poetry_minus_prose,characteristic_of
ame,0.020052961652649796,0.004383890714133286,0.01566907093851651,poetry
cœur,0.017347092467191155,0.006501169448881348,0.010845923018309807,poetry
lys,0.010814222286732789,0.00015261701806362912,0.01066160526866916,poetry
mer,0.011336709646240931,0.0011365718428111291,0.010200137803429802,poetry
mort,0.014217193135134315,0.004852402032383195,0.009364791102751121,poetry
ombre,0.01093772830572166,0.001743254853135657,0.009194473452586003,poetry
eranna,0.008846231305470263,4.232271566960845e-05,0.008803908589800655,poetry
nuit,0.012284327359419667,0.004301290517130958,0.00798303684228871,poetry
vierge,0.008888238194006899,0.0010660691309657725,0.007822169063041126,poetry
chant,0.008684973412464991,0.0009899803455750153,0.007694993066889976,poetry
vent,0.008759513318974699,0.0011643229615325992,0.0075951903574421,poetry
silence,0.009768193841617935,0.00218233124270063,0.007585862598917305,poetry
beaute,0.010891842908652987,0.003324702487232787,0.0075671404214202,poetry
roses,0.009427580288666198,0.0018641322896801506,0.007563447998986048,poetry
amour,0.022586864509510866,0.015428278839818775,0.00715858566969209,poetry
reve,0.009597920414215684,0.002468426365041252,0.007129494049174432,poetry
doux,0.009249573012835563,0.0021279039269944387,0.007121669085841125,poetry
soir,0.009808771614183372,0.0030195225766542245,0.006789249037529147,poetry
lune,0.007680176050282533,0.0009310950015014429,0.00674908104878109,poetry
baiser,0.007728035359528562,0.0010821924536222511,0.006645842905906311,poetry
baisers,0.007895714945272792,0.0013055962384523633,0.006590118706820429,poetry
voix,0.011212527597385533,0.004804933427148026,0.006407594170237507,poetry
jour,0.01265442219852336,0.006335378043987986,0.0063190441545353734,poetry
yeux,0.01578966462967108,0.009555050460666625,0.006234614169004456,poetry
triste,0.007918274263374072,0.001783955783215829,0.006134318480158243,poetry
vierges,0.006262568299727281,0.00017247699685715723,0.006090091302870124,poetry
levres,0.008273935495416143,0.002295830281934254,0.005978105213481889,poetry
eaux,0.006186498770470858,0.00020852162269937642,0.0059779771477714815,poetry
heure,0.009366747456690118,0.0034051066285838544,0.005961640828106263,poetry
naake,0.0059322298014263895,0.0,0.0059322298014263895,poetry
homme,0.0023586166368550973,0.011092708105184654,-0.008734091468329557,prose
petite,0.001040314046853254,0.009129459817715993,-0.008089145770862739,prose
femme,0.006294788836049293,0.01398449002596117,-0.007689701189911876,prose
faire,0.0011917318390794627,0.008742825715398526,-0.007551093876319063,prose
vie,0.00497166062447873,0.012263484451798506,-0.007291823827319776,prose
parce,0.0014201846487766454,0.008576153381606721,-0.0071559687328300765,prose
dire,0.001028326805510711,0.007558820063752308,-0.006530493258241597,prose
jeune,0.0031391488666230117,0.009580260472833961,-0.00644111160621095,prose
encore,0.005838152905299449,0.011361963039980005,-0.005523810134680555,prose
mademoiselle,0.0004540375870477684,0.005759925231365311,-0.005305887644317543,prose
mari,0.0003682133808861986,0.005528233617547772,-0.0051600202366615736,prose
alors,0.0013854533505837678,0.006307672048910222,-0.004922218698326454,prose
chose,0.0013527770200043902,0.006171948993002169,-0.004819171972997779,prose
stephen,0.0,0.0046260888075037405,-0.0046260888075037405,prose
mere,0.0015693135657858,0.0061883526691144325,-0.004619039103328632,prose
monde,0.0011747130981787331,0.005650567025578883,-0.00447585392740015,prose
ans,0.0,0.004400472462026187,-0.004400472462026187,prose
fois,0.001517480221105753,0.005806854337496928,-0.004289374116391175,prose
deux,0.006744344349196685,0.011025438717201559,-0.004281094368004874,prose
mieux,0.004844713934719963,0.009114505366099332,-0.004269791431379368,prose
comment,0.00018897115261352549,0.004305663447334785,-0.0041166922947212595,prose
tant,0.005746699755974808,0.009784529307190672,-0.004037829551215864,prose
pere,0.0010767065723809597,0.005069849211793895,-0.003993142639412936,prose
petit,0.003003364240395267,0.006850697596080155,-0.003847333355684888,prose
temps,0.00297988165978925,0.006545023125770506,-0.0035651414659812557,prose
madame,0.0004864438882762691,0.004012169000487734,-0.0035257251122114653,prose
moment,0.0002405216237668685,0.003669626062280679,-0.0034291044385138104,prose
toujours,0.0069337963684873586,0.01025225478591852,-0.0033184584174311615,prose
assez,0.0016588360297144955,0.004972178420285786,-0.0033133423905712905,prose
fin,0.00037444065183868814,0.0036648808243180475,-0.0032904401724793593,prose
