word,n_poetry,n_prose,freq_poetry,freq_prose,total,share_poetry
c'est,65,521,0.0057117750439367315,0.007886650217223476,586,0.11092150170648464
qu'elle,38,528,0.0033391915641476275,0.007992612888088281,566,0.06713780918727916
d'un,74,431,0.006502636203866432,0.006524273020390246,505,0.14653465346534653
qu'il,30,434,0.0026362038664323375,0.00656968559361802,464,0.06465517241379311
femme,25,346,0.0021968365553602814,0.005237583445603306,371,0.0673854447439353
j'ai,44,326,0.003866432337434095,0.004934832957418144,370,0.11891891891891893
d'une,42,314,0.0036906854130052723,0.0047531826645070465,356,0.11797752808988764
amour,76,271,0.006678383128295255,0.004102269114908948,347,0.21902017291066284
vie,20,289,0.0017574692442882249,0.004374744554275594,309,0.06472491909385113
l'amour,43,258,0.0037785588752196836,0.0039054812975885924,301,0.14285714285714285
encore,23,250,0.0020210896309314588,0.0037843811023145274,273,0.08424908424908426
aime,21,249,0.0018453427065026362,0.0037692435779052695,270,0.07777777777777778
deux,20,239,0.0017574692442882249,0.003617868333812688,259,0.07722007722007722
fait,29,229,0.002548330404217926,0.0034664930897201074,258,0.1124031007751938
yeux,47,207,0.004130052724077329,0.0031334675527164286,254,0.18503937007874016
toujours,29,220,0.002548330404217926,0.003330255370036784,249,0.11646586345381527
tant,17,214,0.0014938488576449911,0.0032394302235812357,231,0.0735930735930736
n'est,27,200,0.0023725834797891036,0.003027504881851622,227,0.11894273127753303
jeune,13,207,0.0011423550087873461,0.0031334675527164286,220,0.05909090909090909
qu'on,38,179,0.0033391915641476275,0.0027096168692572016,217,0.17511520737327188
trop,29,178,0.002548330404217926,0.0026944793448479437,207,0.14009661835748793
cœur,66,140,0.005799648506151142,0.0021192534172961353,206,0.32038834951456313
petite,3,188,0.00026362038664323376,0.0028458545889405245,191,0.015706806282722512
homme,7,168,0.0006151142355008787,0.0025431041007553624,175,0.04
mieux,15,158,0.0013181019332161687,0.002391728856662781,173,0.08670520231213873
parce,4,169,0.000351493848857645,0.0025582416251646208,173,0.023121387283236993
faire,4,163,0.000351493848857645,0.002467416478709072,167,0.023952095808383235
oui,19,148,0.0016695957820738138,0.0022403536125702003,167,0.11377245508982035
jour,44,121,0.003866432337434095,0.0018316404535202314,165,0.26666666666666666
ah,25,136,0.0021968365553602814,0.002058703319659103,161,0.15527950310559005
grand,25,136,0.0021968365553602814,0.002058703319659103,161,0.15527950310559005
femmes,14,143,0.0012302284710017574,0.00216466599052391,157,0.08917197452229299
peut-etre,12,144,0.001054481546572935,0.002179803514933168,156,0.07692307692307693
mort,48,107,0.00421792618629174,0.0016197151117906179,155,0.3096774193548387
seul,19,126,0.0016695957820738138,0.0019073280755665218,145,0.1310344827586207
qu'un,30,113,0.0026362038664323375,0.0017105402582461664,143,0.2097902097902098
moins,17,126,0.0014938488576449911,0.0019073280755665218,143,0.11888111888111888
pourquoi,18,123,0.0015817223198594025,0.0018619155023387474,141,0.1276595744680851
petit,11,126,0.0009666080843585237,0.0019073280755665218,137,0.08029197080291971
fille,9,126,0.0007908611599297012,0.0019073280755665218,135,0.06666666666666667
seule,19,115,0.0016695957820738138,0.0017408153070646826,134,0.1417910447761194
l'on,16,112,0.00140597539543058,0.0016954027338369083,128,0.125
dire,2,126,0.0001757469244288225,0.0019073280755665218,128,0.015625
temps,9,119,0.0007908611599297012,0.0018013654047017151,128,0.0703125
c'etait,7,120,0.0006151142355008787,0.0018165029291109733,127,0.05511811023622047
alors,5,122,0.0004393673110720562,0.0018467779779294893,127,0.03937007874015748
fois,7,116,0.0006151142355008787,0.0017559528314739408,123,0.056910569105691054
pourtant,15,104,0.0013181019332161687,0.0015743025385628435,119,0.12605042016806722
chose,4,114,0.000351493848857645,0.0017256777826554245,118,0.03389830508474576
d'etre,12,105,0.001054481546572935,0.0015894400629721016,117,0.10256410256410256
voix,31,83,0.002724077328646749,0.001256414525968423,114,0.2719298245614035
nuit,32,81,0.00281195079086116,0.0012261394771499068,113,0.2831858407079646
voir,18,95,0.0015817223198594025,0.0014380648188795204,113,0.1592920353982301
aimer,6,106,0.0005272407732864675,0.0016045775873813597,112,0.05357142857142857
n'ai,4,108,0.000351493848857645,0.0016348526361998758,112,0.03571428571428571
premier,10,98,0.0008787346221441124,0.0014834773921072947,108,0.09259259259259259
ame,46,62,0.0040421792618629175,0.0009385265133740028,108,0.42592592592592593
amant,17,91,0.0014938488576449911,0.001377514721242488,108,0.1574074074074074
qu'une,29,76,0.002548330404217926,0.0011504518551036164,105,0.2761904761904762
oh,8,97,0.00070298769771529,0.0014683398676980366,105,0.0761904761904762
