topic,n_poetry,n_prose,share_poetry_in_corpus,share_prose_in_corpus,ratio_poetry_over_prose
174,18,1,0.014742014742014743,6.84603272403642e-05,215.33660933660934
66,52,17,0.042588042588042586,0.0011638255630861914,36.59314929903165
115,23,8,0.018837018837018837,0.0005476826179229136,34.39404176904177
172,23,10,0.018837018837018837,0.0006846032724036421,27.515233415233418
127,27,12,0.022113022113022112,0.0008215239268843705,26.917076167076168
309,11,6,0.009009009009009009,0.00041076196344218524,21.93243243243243
289,11,7,0.009009009009009009,0.00047922229068254944,18.7992277992278
220,14,9,0.011466011466011465,0.0006161429451632779,18.60933660933661
363,9,6,0.007371007371007371,0.00041076196344218524,17.944717444717448
64,37,26,0.030303030303030304,0.0017799685082494695,17.024475524475523
278,8,6,0.006552006552006552,0.00041076196344218524,15.950859950859952
170,24,18,0.019656019656019656,0.0012322858903265558,15.95085995085995
221,14,11,0.011466011466011465,0.0007530635996440063,15.225820862184497
23,49,39,0.04013104013104013,0.0026699527623742043,15.03061803061803
299,10,8,0.00819000819000819,0.0005476826179229136,14.953931203931205
301,6,5,0.004914004914004914,0.00034230163620182103,14.355773955773955
365,8,7,0.006552006552006552,0.00047922229068254944,13.672165672165674
347,9,8,0.007371007371007371,0.0005476826179229136,13.458538083538084
102,27,27,0.022113022113022112,0.0018484288354898336,11.963144963144963
359,7,7,0.005733005733005733,0.00047922229068254944,11.963144963144963
165,12,12,0.009828009828009828,0.0008215239268843705,11.963144963144963
364,11,11,0.009009009009009009,0.0007530635996440063,11.963144963144963
49,47,49,0.03849303849303849,0.0033545560347778463,11.474853331996188
202,11,15,0.009009009009009009,0.0010269049086054631,8.772972972972973
232,13,18,0.010647010647010647,0.0012322858903265558,8.64004914004914
321,5,7,0.004095004095004095,0.00047922229068254944,8.545103545103546
143,13,19,0.010647010647010647,0.00130074621756692,8.1853097116255
59,28,41,0.02293202293202293,0.0028068734168549326,8.169952657757536
6,50,74,0.04095004095004095,0.005066064215786951,8.08320605617903
294,7,11,0.005733005733005733,0.0007530635996440063,7.612910431092248
330,5,8,0.004095004095004095,0.0005476826179229136,7.476965601965603
292,7,12,0.005733005733005733,0.0008215239268843705,6.978501228501228
361,4,7,0.003276003276003276,0.00047922229068254944,6.836082836082837
308,8,14,0.006552006552006552,0.0009584445813650989,6.836082836082837
96,10,20,0.00819000819000819,0.0013692065448072841,5.981572481572482
282,8,16,0.006552006552006552,0.0010953652358458273,5.981572481572482
219,7,14,0.005733005733005733,0.0009584445813650989,5.981572481572481
209,9,18,0.007371007371007371,0.0012322858903265558,5.981572481572481
114,11,24,0.009009009009009009,0.001643047853768741,5.483108108108108
116,10,22,0.00819000819000819,0.0015061271992880126,5.437793165065893
313,5,12,0.004095004095004095,0.0008215239268843705,4.984643734643735
130,9,22,0.007371007371007371,0.0015061271992880126,4.894013848559303
181,8,20,0.006552006552006552,0.0013692065448072841,4.785257985257986
5,37,93,0.030303030303030304,0.0063668104333538715,4.7595307917888565
37,17,47,0.013923013923013924,0.003217635380297118,4.327094986669454
32,16,46,0.013104013104013105,0.0031491750530567536,4.161093900224335
94,2,6,0.001638001638001638,0.00041076196344218524,3.987714987714988
164,6,18,0.004914004914004914,0.0012322858903265558,3.9877149877149876
69,10,30,0.00819000819000819,0.0020538098172109263,3.9877149877149876
60,8,28,0.006552006552006552,0.0019168891627301978,3.4180414180414185
265,3,11,0.002457002457002457,0.0007530635996440063,3.262675899039535
76,10,37,0.00819000819000819,0.0025330321078934756,3.233282422471612
259,4,15,0.003276003276003276,0.0010269049086054631,3.1901719901719905
167,5,20,0.004095004095004095,0.0013692065448072841,2.990786240786241
55,11,45,0.009009009009009009,0.0030807147258163892,2.9243243243243247
184,5,21,0.004095004095004095,0.0014376668720476485,2.848367848367848
300,3,13,0.002457002457002457,0.0008899842541247347,2.7607257607257605
57,10,45,0.00819000819000819,0.0030807147258163892,2.658476658476659
305,2,9,0.001638001638001638,0.0006161429451632779,2.6584766584766584
128,7,33,0.005733005733005733,0.002259190798932019,2.537636810364083
345,2,10,0.001638001638001638,0.0006846032724036421,2.392628992628993
33,10,52,0.00819000819000819,0.003559937016498939,2.3006048006048005
93,8,42,0.006552006552006552,0.002875333744095297,2.2786942786942785
34,9,48,0.007371007371007371,0.003286095707537482,2.243089680589681
279,3,16,0.002457002457002457,0.0010953652358458273,2.2430896805896805
263,3,17,0.002457002457002457,0.0011638255630861914,2.111143228790288
95,7,41,0.005733005733005733,0.0028068734168549326,2.042488164439384
271,2,12,0.001638001638001638,0.0008215239268843705,1.993857493857494
133,5,30,0.004095004095004095,0.0020538098172109263,1.9938574938574938
241,3,18,0.002457002457002457,0.0012322858903265558,1.9938574938574938
28,9,56,0.007371007371007371,0.0038337783254603955,1.9226482976482977
161,4,25,0.003276003276003276,0.0017115081810091053,1.914103194103194
104,7,44,0.005733005733005733,0.0030122543985760253,1.903227607773062
356,2,13,0.001638001638001638,0.0008899842541247347,1.8404838404838406
312,2,13,0.001638001638001638,0.0008899842541247347,1.8404838404838406
98,5,33,0.004095004095004095,0.002259190798932019,1.8125977216886306
85,6,40,0.004914004914004914,0.0027384130896145682,1.7944717444717444
113,6,41,0.004914004914004914,0.0028068734168549326,1.7507041409480433
307,2,14,0.001638001638001638,0.0009584445813650989,1.7090207090207092
349,2,14,0.001638001638001638,0.0009584445813650989,1.7090207090207092
236,2,14,0.001638001638001638,0.0009584445813650989,1.7090207090207092
99,4,28,0.003276003276003276,0.0019168891627301978,1.7090207090207092
362,2,14,0.001638001638001638,0.0009584445813650989,1.7090207090207092
150,3,21,0.002457002457002457,0.0014376668720476485,1.7090207090207088
151,3,21,0.002457002457002457,0.0014376668720476485,1.7090207090207088
177,2,15,0.001638001638001638,0.0010269049086054631,1.5950859950859952
293,2,15,0.001638001638001638,0.0010269049086054631,1.5950859950859952
155,3,23,0.002457002457002457,0.0015745875265283768,1.5604102125841257
75,5,39,0.004095004095004095,0.0026699527623742043,1.5337365337365336
366,1,8,0.000819000819000819,0.0005476826179229136,1.4953931203931206
