word,tfidf_poetry,tfidf_prose,diff_poetry_minus_prose,characteristic_of
ame,0.0264398275533298,0.0064832249968885,0.0199566025564413,poetry
mer,0.018566025914850497,0.0018211384680976402,0.016744887446752857,poetry
amour,0.024220885756503018,0.010704091419927758,0.01351679433657526,poetry
ombre,0.01528177355959549,0.0034972564379468964,0.011784517121648594,poetry
soir,0.015672686594796127,0.004469380190157116,0.011203306404639011,poetry
vent,0.013071208546165392,0.0020410349585257307,0.01103017358763966,poetry
mort,0.014741949079542334,0.0038614364075844256,0.010880512671957908,poetry
nuit,0.01544356291759943,0.004652403188189946,0.010791159729409484,poetry
cœur,0.018096390733579805,0.007406049902179533,0.010690340831400271,poetry
lys,0.010738742967886754,0.0001820748041470544,0.0105566681637397,poetry
reve,0.012900683810919503,0.002774934939006444,0.01012574887191306,poetry
baiser,0.01243346299484281,0.0026725128600167776,0.009760950134826033,poetry
vierge,0.009825993767140922,0.0007509206914819238,0.009075073075658998,poetry
chant,0.009961917523182377,0.0010121713665233818,0.008949746156658995,poetry
doux,0.011551961966656617,0.003236137933915712,0.008315824032740905,poetry
encor,0.008269154416307767,7.13530214899384e-05,0.008197801394817829,poetry
lune,0.009182110157619125,0.0010536659537192798,0.008128444203899845,poetry
fleurs,0.010541456898706792,0.0027433219233618093,0.0077981349753449836,poetry
eau,0.01180886635451835,0.004024187373382322,0.007784678981136028,poetry
morts,0.008432849136620943,0.0007325713664653529,0.0077002777701555905,poetry
chair,0.009582890408473797,0.0021950026171268597,0.007387887791346937,poetry
desir,0.010062622873135023,0.0027143730456650134,0.0073482498274700095,poetry
roses,0.0095822933960157,0.002279993625193474,0.0073022997708222254,poetry
baisers,0.009078014544148711,0.0020622999495118898,0.007015714594636822,poetry
voix,0.013003347219754645,0.006004225383036829,0.006999121836717816,poetry
levres,0.01135944261467348,0.004434411322745441,0.006925031291928039,poetry
beaute,0.009800163796459331,0.0029486580453122117,0.006851505751147119,poetry
eranna,0.006863111446720001,3.178488238836745e-05,0.006831326564331634,poetry
naake,0.006610637487410654,0.0,0.006610637487410654,poetry
psappha,0.006683257266752336,0.00014535070143696988,0.006537906565315366,poetry
petite,0.0023539944464176163,0.010751225459424224,-0.008397231013006608,prose
petit,0.0029277908555440536,0.010418043839896531,-0.007490252984352477,prose
faire,0.002526820627450191,0.00945357450886142,-0.006926753881411228,prose
deux,0.006948804012634822,0.013443360854862054,-0.006494556842227232,prose
dire,0.0010642571809203693,0.007381707196819487,-0.006317450015899118,prose
main,0.00632309752923192,0.012568359380753815,-0.006245261851521895,prose
tete,0.0029585670053581333,0.008830772563146516,-0.005872205557788383,prose
jeune,0.0036835214373538367,0.009547209740417902,-0.005863688303064065,prose
homme,0.003979306477297671,0.009403238101037199,-0.005423931623739528,prose
encore,0.007038269348494026,0.012273761839426385,-0.0052354924909323594,prose
fois,0.0032636926466481603,0.007844676606142074,-0.004580983959493913,prose
stephen,0.0,0.00457914917553425,-0.00457914917553425,prose
parce,0.0010263504301152723,0.00551767553746102,-0.004491325107345748,prose
minne,0.0,0.004156257495656138,-0.004156257495656138,prose
presque,0.0012658382564899459,0.005369309570002067,-0.004103471313512122,prose
vie,0.0055896295654263685,0.00961444362681192,-0.004024814061385552,prose
alors,0.002966291390936413,0.006889556603414959,-0.0039232652124785465,prose
ans,0.0005187198490215655,0.004341634917493066,-0.0038229150684715007,prose
fille,0.0030946208565372476,0.0069091887043485145,-0.003814567847811267,prose
mme,0.0,0.003679750569857473,-0.003679750569857473,prose
mot,0.0009268317021162868,0.004510042801500536,-0.003583211099384249,prose
madame,0.0003075213015749546,0.0038773991233409266,-0.003569877821765972,prose
faisait,0.00041275576233529613,0.003940500836093105,-0.0035277450737578086,prose
temps,0.0031061446485517665,0.006630218057800158,-0.0035240734092483916,prose
chose,0.002377474717786802,0.005833895423969959,-0.0034564207061831575,prose
mere,0.0028563817575245226,0.006259781841305399,-0.0034034000837808768,prose
mademoiselle,0.0003179950569707824,0.0036970063069865235,-0.003379011250015741,prose
oui,0.003906166293471734,0.007284832437437833,-0.0033786661439660992,prose
sentait,6.314745504409458e-05,0.0034352973375122208,-0.003372149882468126,prose
assez,0.0015781056591882103,0.004870405332204135,-0.003292299673015925,prose
