chunk_id,work_id,author_id,genre,sentiment_score,sentiment_label
alencon_masque__0,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__1,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__2,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__3,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__4,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__5,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__6,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__7,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__8,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__9,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__10,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__11,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__12,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__13,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__14,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__15,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__16,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__17,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__18,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__19,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__20,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__21,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__22,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__23,alencon_masque,alencon,poetry,5,5 stars
alencon_masque__24,alencon_masque,alencon,poetry,5,5 stars
brimont_mirages__0,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__1,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__2,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__3,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__4,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__5,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__6,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__7,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__8,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__9,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__10,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__11,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__12,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__13,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__14,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__15,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__16,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__18,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__19,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__20,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__21,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__22,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__23,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__25,brimont_mirages,brimont,poetry,2,2 stars
brimont_mirages__26,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__27,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__28,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__29,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__30,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__31,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__32,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__33,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__34,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__35,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__36,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__37,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__38,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__39,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__40,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__41,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__42,brimont_mirages,brimont,poetry,5,5 stars
brimont_mirages__43,brimont_mirages,brimont,poetry,5,5 stars
brimont_psyche__0,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__1,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__2,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__3,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__4,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__5,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__6,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__7,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__8,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__9,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__10,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__11,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__12,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__13,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__14,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__15,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__16,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__17,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__19,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__20,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__21,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__22,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__23,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__24,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__25,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__26,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__27,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__28,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__29,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__30,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__31,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__32,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__33,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__34,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__35,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__36,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__37,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__38,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__39,brimont_psyche,brimont,poetry,5,5 stars
brimont_psyche__40,brimont_psyche,brimont,poetry,5,5 stars
cliffordbarney_actesentractes__0,cliffordbarney_actesentractes,cliffordbarney,poetry,2,2 stars
cliffordbarney_actesentractes__1,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__2,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__3,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__4,cliffordbarney_actesentractes,cliffordbarney,poetry,3,3 stars
cliffordbarney_actesentractes__5,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__6,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__7,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__9,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__10,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__11,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__12,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__13,cliffordbarney_actesentractes,cliffordbarney,poetry,1,1 star
cliffordbarney_actesentractes__14,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__15,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__16,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__17,cliffordbarney_actesentractes,cliffordbarney,poetry,3,3 stars
cliffordbarney_actesentractes__18,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__19,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__20,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__21,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__22,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__23,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__24,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__25,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__26,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__27,cliffordbarney_actesentractes,cliffordbarney,poetry,1,1 star
cliffordbarney_actesentractes__28,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__29,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__30,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__31,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
cliffordbarney_actesentractes__32,cliffordbarney_actesentractes,cliffordbarney,poetry,5,5 stars
