topic,n_poetry,n_prose,share_poetry_in_corpus,share_prose_in_corpus,ratio_poetry_over_prose
174,18,1,0.014742014742014743,6.84603272403642e-05,215.33660933660934
66,47,14,0.03849303849303849,0.0009584445813650989,40.16198666198666
115,22,7,0.018018018018018018,0.00047922229068254944,37.5984555984556
127,24,9,0.019656019656019656,0.0006161429451632779,31.9017199017199
172,23,10,0.018837018837018837,0.0006846032724036421,27.515233415233418
363,9,5,0.007371007371007371,0.00034230163620182103,21.533660933660936
278,7,4,0.005733005733005733,0.0002738413089614568,20.935503685503686
220,14,8,0.011466011466011465,0.0005476826179229136,20.935503685503686
309,10,6,0.00819000819000819,0.00041076196344218524,19.93857493857494
64,33,20,0.02702702702702703,0.0013692065448072841,19.73918918918919
365,6,4,0.004914004914004914,0.0002738413089614568,17.944717444717444
23,47,33,0.03849303849303849,0.002259190798932019,17.038418583873128
170,21,16,0.0171990171990172,0.0010953652358458273,15.701627764127764
221,13,10,0.010647010647010647,0.0006846032724036421,15.552088452088451
347,9,7,0.007371007371007371,0.00047922229068254944,15.381186381186382
289,9,7,0.007371007371007371,0.00047922229068254944,15.381186381186382
299,10,8,0.00819000819000819,0.0005476826179229136,14.953931203931205
301,6,5,0.004914004914004914,0.00034230163620182103,14.355773955773955
364,10,9,0.00819000819000819,0.0006161429451632779,13.292383292383292
102,25,24,0.020475020475020474,0.001643047853768741,12.461609336609337
49,45,45,0.036855036855036855,0.0030807147258163892,11.963144963144964
165,11,11,0.009009009009009009,0.0007530635996440063,11.963144963144963
359,6,6,0.004914004914004914,0.00041076196344218524,11.963144963144963
232,13,15,0.010647010647010647,0.0010269049086054631,10.368058968058968
321,5,6,0.004095004095004095,0.00041076196344218524,9.96928746928747
294,7,9,0.005733005733005733,0.0006161429451632779,9.304668304668304
6,45,59,0.036855036855036855,0.004039159307181488,9.12443259900887
292,7,10,0.005733005733005733,0.0006846032724036421,8.374201474201474
305,2,3,0.001638001638001638,0.00020538098172109262,7.975429975429976
330,5,8,0.004095004095004095,0.0005476826179229136,7.476965601965603
308,8,13,0.006552006552006552,0.0008899842541247347,7.3619353619353625
202,8,13,0.006552006552006552,0.0008899842541247347,7.3619353619353625
59,22,36,0.018018018018018018,0.0024645717806531116,7.3108108108108105
143,11,18,0.009009009009009009,0.0012322858903265558,7.3108108108108105
219,6,10,0.004914004914004914,0.0006846032724036421,7.177886977886978
116,10,20,0.00819000819000819,0.0013692065448072841,5.981572481572482
209,7,14,0.005733005733005733,0.0009584445813650989,5.981572481572481
114,11,22,0.009009009009009009,0.0015061271992880126,5.981572481572481
130,9,20,0.007371007371007371,0.0013692065448072841,5.383415233415234
361,3,7,0.002457002457002457,0.00047922229068254944,5.1270621270621275
313,5,12,0.004095004095004095,0.0008215239268843705,4.984643734643735
5,30,73,0.02457002457002457,0.004997603888546588,4.916360943758203
32,16,39,0.013104013104013105,0.0026699527623742043,4.907956907956908
282,6,15,0.004914004914004914,0.0010269049086054631,4.785257985257985
37,16,41,0.013104013104013105,0.0028068734168549326,4.668544375861449
181,7,18,0.005733005733005733,0.0012322858903265558,4.652334152334152
96,7,18,0.005733005733005733,0.0012322858903265558,4.652334152334152
265,3,8,0.002457002457002457,0.0005476826179229136,4.486179361179361
69,9,27,0.007371007371007371,0.0018484288354898336,3.987714987714988
259,4,13,0.003276003276003276,0.0008899842541247347,3.6809676809676812
60,7,23,0.005733005733005733,0.0015745875265283768,3.640957162696293
55,11,40,0.009009009009009009,0.0027384130896145682,3.289864864864865
76,9,34,0.007371007371007371,0.002327651126172383,3.166714843185432
167,5,19,0.004095004095004095,0.00130074621756692,3.1481960429328852
57,10,40,0.00819000819000819,0.0027384130896145682,2.990786240786241
128,7,28,0.005733005733005733,0.0019168891627301978,2.9907862407862407
300,3,12,0.002457002457002457,0.0008215239268843705,2.9907862407862407
95,7,30,0.005733005733005733,0.0020538098172109263,2.7914004914004913
164,4,18,0.003276003276003276,0.0012322858903265558,2.6584766584766584
271,2,9,0.001638001638001638,0.0006161429451632779,2.6584766584766584
345,2,9,0.001638001638001638,0.0006161429451632779,2.6584766584766584
263,3,14,0.002457002457002457,0.0009584445813650989,2.5635310635310637
104,7,33,0.005733005733005733,0.002259190798932019,2.537636810364083
93,7,33,0.005733005733005733,0.002259190798932019,2.537636810364083
33,10,48,0.00819000819000819,0.003286095707537482,2.4923218673218677
94,1,5,0.000819000819000819,0.00034230163620182103,2.392628992628993
279,3,16,0.002457002457002457,0.0010953652358458273,2.2430896805896805
34,7,38,0.005733005733005733,0.00260149243513384,2.2037372300530196
236,2,11,0.001638001638001638,0.0007530635996440063,2.175117266026357
149,2,11,0.001638001638001638,0.0007530635996440063,2.175117266026357
312,2,11,0.001638001638001638,0.0007530635996440063,2.175117266026357
307,2,11,0.001638001638001638,0.0007530635996440063,2.175117266026357
28,8,46,0.006552006552006552,0.0031491750530567536,2.0805469501121676
99,4,23,0.003276003276003276,0.0015745875265283768,2.0805469501121676
366,1,6,0.000819000819000819,0.00041076196344218524,1.993857493857494
177,2,12,0.001638001638001638,0.0008215239268843705,1.993857493857494
161,4,24,0.003276003276003276,0.001643047853768741,1.993857493857494
151,3,18,0.002457002457002457,0.0012322858903265558,1.9938574938574938
241,3,18,0.002457002457002457,0.0012322858903265558,1.9938574938574938
85,6,37,0.004914004914004914,0.0025330321078934756,1.939969453482967
150,3,19,0.002457002457002457,0.00130074621756692,1.8889176257597309
77,2,13,0.001638001638001638,0.0008899842541247347,1.8404838404838406
356,2,13,0.001638001638001638,0.0008899842541247347,1.8404838404838406
133,4,26,0.003276003276003276,0.0017799685082494695,1.8404838404838406
242,2,14,0.001638001638001638,0.0009584445813650989,1.7090207090207092
362,2,14,0.001638001638001638,0.0009584445813650989,1.7090207090207092
75,4,28,0.003276003276003276,0.0019168891627301978,1.7090207090207092
98,4,29,0.003276003276003276,0.001985349489970562,1.6500889604337883
281,2,15,0.001638001638001638,0.0010269049086054631,1.5950859950859952
291,1,8,0.000819000819000819,0.0005476826179229136,1.4953931203931206
155,2,17,0.001638001638001638,0.0011638255630861914,1.4074288191935254
122,3,26,0.002457002457002457,0.0017799685082494695,1.3803628803628802
113,4,36,0.003276003276003276,0.0024645717806531116,1.3292383292383292
205,3,27,0.002457002457002457,0.0018484288354898336,1.3292383292383292
244,2,18,0.001638001638001638,0.0012322858903265558,1.3292383292383292
303,2,18,0.001638001638001638,0.0012322858903265558,1.3292383292383292
58,5,46,0.004095004095004095,0.0031491750530567536,1.3003418438201046
56,5,46,0.004095004095004095,0.0031491750530567536,1.3003418438201046
183,3,28,0.002457002457002457,0.0019168891627301978,1.2817655317655319
302,1,10,0.000819000819000819,0.0006846032724036421,1.1963144963144965
225,2,22,0.001638001638001638,0.0015061271992880126,1.0875586330131786
199,2,22,0.001638001638001638,0.0015061271992880126,1.0875586330131786
298,1,11,0.000819000819000819,0.0007530635996440063,1.0875586330131786
353,1,11,0.000819000819000819,0.0007530635996440063,1.0875586330131786
112,3,33,0.002457002457002457,0.002259190798932019,1.0875586330131783
129,3,33,0.002457002457002457,0.002259190798932019,1.0875586330131783
82,3,33,0.002457002457002457,0.002259190798932019,1.0875586330131783
176,1,12,0.000819000819000819,0.0008215239268843705,0.996928746928747
336,1,12,0.000819000819000819,0.0008215239268843705,0.996928746928747
349,1,13,0.000819000819000819,0.0008899842541247347,0.9202419202419203
240,1,13,0.000819000819000819,0.0008899842541247347,0.9202419202419203
