word,n_poetry,n_prose,freq_poetry,freq_prose,total,share_poetry
d'un,178,1286,0.004667016255899319,0.006340753889012154,1464,0.12158469945355191
d'une,137,1156,0.0035920293654955427,0.005699775657619012,1293,0.10595514307811292
yeux,215,1077,0.005637126376507604,0.005310258117003181,1292,0.16640866873065016
c'est,114,1002,0.0029889879391714735,0.004940462983507137,1116,0.10215053763440861
qu'elle,36,998,0.0009438909281594127,0.004920740576387348,1034,0.03481624758220503
main,60,837,0.0015731515469323545,0.004126913689815842,897,0.06688963210702341
deux,51,830,0.0013371788148925014,0.004092399477356211,881,0.05788876276958002
qu'il,32,828,0.0008390141583639224,0.0040825382737963165,860,0.037209302325581395
encore,63,763,0.0016518091242789723,0.003762049158099746,826,0.07627118644067797
bras,133,661,0.0034871525957000525,0.0032591277765451274,794,0.16750629722921914
j'ai,154,567,0.0040377556371263765,0.0027956512092300865,721,0.21359223300970873
bouche,150,570,0.003932878867330886,0.0028104430145699283,720,0.20833333333333334
femme,89,630,0.0023335081279496593,0.003106279121366763,719,0.12378303198887343
mains,126,574,0.0033036182485579445,0.0028301654216897174,700,0.18
levres,143,493,0.0037493445201887783,0.0024307866775139905,636,0.2248427672955975
fait,87,543,0.002281069743051914,0.0026773167665113526,630,0.1380952380952381
corps,137,465,0.0035920293654955427,0.002292729827675468,602,0.22757475083056478
jeune,32,551,0.0008390141583639224,0.0027167615807509307,583,0.0548885077186964
cœur,151,430,0.003959098059779759,0.0021201587653773145,581,0.25989672977624784
petit,21,560,0.0005506030414263241,0.0027611369967704556,581,0.03614457831325301
petite,14,547,0.00036706869428421607,0.0026970391736311416,561,0.024955436720142603
tete,20,525,0.0005243838489774515,0.002588565934472302,545,0.03669724770642202
visage,61,422,0.0015993707393812272,0.0020807139511377364,483,0.12629399585921325
trop,47,436,0.001232302045097011,0.0021497423760569977,483,0.09730848861283643
cheveux,87,389,0.002281069743051914,0.0019180040923994775,476,0.18277310924369747
vie,36,430,0.0009438909281594127,0.0021201587653773145,466,0.07725321888412018
toujours,55,398,0.0014420555846879916,0.0019623795084190024,453,0.12141280353200883
baiser,167,282,0.0043786051389617196,0.0013904297019451224,449,0.37193763919821826
faire,13,426,0.00034084950183534347,0.0021004363582575254,439,0.029612756264236904
regard,98,335,0.002569480859989512,0.0016517515962823262,433,0.22632794457274827
ame,152,278,0.003985317252228632,0.0013707072948253335,430,0.35348837209302325
fois,26,388,0.0006816990036706869,0.0019130734906195302,414,0.06280193236714976
l'amour,118,290,0.0030938647089669637,0.0014298745161847003,408,0.28921568627450983
voix,106,292,0.002779234399580493,0.0014397357197445948,398,0.2663316582914573
qu'on,50,335,0.0013109596224436288,0.0016517515962823262,385,0.12987012987012986
oui,27,338,0.0007079181961195595,0.001666543401622168,365,0.07397260273972603
nuit,137,223,0.0035920293654955427,0.0010995241969282352,360,0.38055555555555554
voir,41,313,0.0010749868904037757,0.001543278357123487,354,0.11581920903954802
grand,40,313,0.001048767697954903,0.001543278357123487,353,0.11331444759206799
qu'un,96,257,0.0025170424750917673,0.0012671646574464413,353,0.2719546742209632
tant,34,316,0.0008914525432616676,0.0015580701624633288,350,0.09714285714285714
n'est,48,298,0.0012585212375458836,0.0014693193304242782,346,0.13872832369942195
soir,130,213,0.0034084950183534348,0.0010502181791287627,343,0.37900874635568516
ah,68,273,0.0017829050865233351,0.0013460542859255972,341,0.19941348973607037
alors,17,323,0.0004457262716308338,0.0015925843749229594,340,0.05
jour,71,268,0.0018615626638699527,0.001321401277025861,339,0.20943952802359883
fille,17,321,0.0004457262716308338,0.0015827231713630649,338,0.05029585798816568
deja,33,299,0.0008652333508127949,0.0014742499322042254,332,0.09939759036144578
desir,120,203,0.003146303093864709,0.0010009121613292903,323,0.3715170278637771
temps,17,294,0.0004457262716308338,0.0014495969233044893,311,0.05466237942122187
baisers,98,208,0.002569480859989512,0.0010255651702290264,306,0.3202614379084967
rose,53,252,0.0013896171997902465,0.001242511648546705,305,0.1737704918032787
sourire,44,258,0.0011536444677503932,0.0012720952592263886,302,0.1456953642384106
chair,106,191,0.002779234399580493,0.0009417449399699233,297,0.3569023569023569
amour,82,215,0.0021499737808075513,0.0010600793826886573,297,0.2760942760942761
dire,5,292,0.00013109596224436288,0.0014397357197445948,297,0.016835016835016835
homme,11,283,0.0002884111169375983,0.0013953603037250696,294,0.03741496598639456
c'etait,15,272,0.0003932878867330886,0.00134112368414565,287,0.05226480836236934
pourquoi,47,235,0.001232302045097011,0.001158691418287602,282,0.16666666666666666
presque,8,274,0.0002097535395909806,0.0013509848877055444,282,0.028368794326241134
