topic,n_poetry,n_prose,share_poetry_in_corpus,share_prose_in_corpus,ratio_poetry_over_prose
59,7,1,0.005733005733005733,6.84603272403642e-05,83.74201474201475
66,4,1,0.003276003276003276,6.84603272403642e-05,47.85257985257986
5,13,8,0.010647010647010647,0.0005476826179229136,19.440110565110565
49,4,3,0.003276003276003276,0.00020538098172109262,15.950859950859952
34,1,1,0.000819000819000819,6.84603272403642e-05,11.963144963144964
289,1,1,0.000819000819000819,6.84603272403642e-05,11.963144963144964
60,1,1,0.000819000819000819,6.84603272403642e-05,11.963144963144964
55,2,2,0.001638001638001638,0.0001369206544807284,11.963144963144964
303,1,1,0.000819000819000819,6.84603272403642e-05,11.963144963144964
241,1,1,0.000819000819000819,6.84603272403642e-05,11.963144963144964
37,3,3,0.002457002457002457,0.00020538098172109262,11.963144963144963
164,1,2,0.000819000819000819,0.0001369206544807284,5.981572481572482
85,1,2,0.000819000819000819,0.0001369206544807284,5.981572481572482
57,1,2,0.000819000819000819,0.0001369206544807284,5.981572481572482
40,1,2,0.000819000819000819,0.0001369206544807284,5.981572481572482
102,1,2,0.000819000819000819,0.0001369206544807284,5.981572481572482
284,1,2,0.000819000819000819,0.0001369206544807284,5.981572481572482
128,1,3,0.000819000819000819,0.00020538098172109262,3.987714987714988
47,1,3,0.000819000819000819,0.00020538098172109262,3.987714987714988
3,1,7,0.000819000819000819,0.00047922229068254944,1.7090207090207092
143,0,1,0.0,6.84603272403642e-05,0.0
96,0,1,0.0,6.84603272403642e-05,0.0
56,0,1,0.0,6.84603272403642e-05,0.0
97,0,1,0.0,6.84603272403642e-05,0.0
113,0,1,0.0,6.84603272403642e-05,0.0
181,0,1,0.0,6.84603272403642e-05,0.0
67,0,1,0.0,6.84603272403642e-05,0.0
237,0,7,0.0,0.00047922229068254944,0.0
135,0,1,0.0,6.84603272403642e-05,0.0
2,0,1,0.0,6.84603272403642e-05,0.0
130,0,1,0.0,6.84603272403642e-05,0.0
133,0,1,0.0,6.84603272403642e-05,0.0
309,0,1,0.0,6.84603272403642e-05,0.0
52,0,2,0.0,0.0001369206544807284,0.0
4,0,4,0.0,0.0002738413089614568,0.0
122,0,1,0.0,6.84603272403642e-05,0.0
121,0,1,0.0,6.84603272403642e-05,0.0
300,0,1,0.0,6.84603272403642e-05,0.0
93,0,1,0.0,6.84603272403642e-05,0.0
74,0,1,0.0,6.84603272403642e-05,0.0
216,0,1,0.0,6.84603272403642e-05,0.0
29,0,3,0.0,0.00020538098172109262,0.0
35,0,4,0.0,0.0002738413089614568,0.0
71,0,4,0.0,0.0002738413089614568,0.0
100,0,1,0.0,6.84603272403642e-05,0.0
197,0,1,0.0,6.84603272403642e-05,0.0
11,0,1,0.0,6.84603272403642e-05,0.0
108,0,2,0.0,0.0001369206544807284,0.0
46,0,3,0.0,0.00020538098172109262,0.0
292,0,1,0.0,6.84603272403642e-05,0.0
0,0,1,0.0,6.84603272403642e-05,0.0
94,0,1,0.0,6.84603272403642e-05,0.0
195,0,1,0.0,6.84603272403642e-05,0.0
199,0,1,0.0,6.84603272403642e-05,0.0
307,0,1,0.0,6.84603272403642e-05,0.0
302,0,1,0.0,6.84603272403642e-05,0.0
10,0,2,0.0,0.0001369206544807284,0.0
290,0,1,0.0,6.84603272403642e-05,0.0
50,0,1,0.0,6.84603272403642e-05,0.0
88,0,3,0.0,0.00020538098172109262,0.0
258,0,1,0.0,6.84603272403642e-05,0.0
54,0,1,0.0,6.84603272403642e-05,0.0
223,0,2,0.0,0.0001369206544807284,0.0
62,0,1,0.0,6.84603272403642e-05,0.0
160,0,1,0.0,6.84603272403642e-05,0.0
153,0,1,0.0,6.84603272403642e-05,0.0
144,0,1,0.0,6.84603272403642e-05,0.0
18,0,1,0.0,6.84603272403642e-05,0.0
26,0,1,0.0,6.84603272403642e-05,0.0
200,0,5,0.0,0.00034230163620182103,0.0
189,0,1,0.0,6.84603272403642e-05,0.0
117,0,3,0.0,0.00020538098172109262,0.0
43,0,2,0.0,0.0001369206544807284,0.0
16,0,1,0.0,6.84603272403642e-05,0.0
339,0,1,0.0,6.84603272403642e-05,0.0
228,0,1,0.0,6.84603272403642e-05,0.0
207,0,1,0.0,6.84603272403642e-05,0.0
105,0,1,0.0,6.84603272403642e-05,0.0
136,0,1,0.0,6.84603272403642e-05,0.0
204,0,1,0.0,6.84603272403642e-05,0.0
140,0,1,0.0,6.84603272403642e-05,0.0
17,0,1,0.0,6.84603272403642e-05,0.0
81,0,5,0.0,0.00034230163620182103,0.0
73,0,1,0.0,6.84603272403642e-05,0.0
14,0,1,0.0,6.84603272403642e-05,0.0
168,0,4,0.0,0.0002738413089614568,0.0
297,0,1,0.0,6.84603272403642e-05,0.0
41,0,1,0.0,6.84603272403642e-05,0.0
322,0,1,0.0,6.84603272403642e-05,0.0
210,0,1,0.0,6.84603272403642e-05,0.0
27,0,2,0.0,0.0001369206544807284,0.0
39,0,1,0.0,6.84603272403642e-05,0.0
246,0,1,0.0,6.84603272403642e-05,0.0
218,0,1,0.0,6.84603272403642e-05,0.0
166,0,1,0.0,6.84603272403642e-05,0.0
111,0,1,0.0,6.84603272403642e-05,0.0
159,0,1,0.0,6.84603272403642e-05,0.0
154,0,2,0.0,0.0001369206544807284,0.0
227,0,2,0.0,0.0001369206544807284,0.0
234,0,1,0.0,6.84603272403642e-05,0.0
32,2,0,0.001638001638001638,0.0,
115,2,0,0.001638001638001638,0.0,
23,5,0,0.004095004095004095,0.0,
299,2,0,0.001638001638001638,0.0,
172,4,0,0.003276003276003276,0.0,
363,1,0,0.000819000819000819,0.0,
232,2,0,0.001638001638001638,0.0,
58,1,0,0.000819000819000819,0.0,
220,3,0,0.002457002457002457,0.0,
151,1,0,0.000819000819000819,0.0,
313,2,0,0.001638001638001638,0.0,
347,1,0,0.000819000819000819,0.0,
165,3,0,0.002457002457002457,0.0,
167,2,0,0.001638001638001638,0.0,
221,1,0,0.000819000819000819,0.0,
64,8,0,0.006552006552006552,0.0,
8,1,0,0.000819000819000819,0.0,
208,1,0,0.000819000819000819,0.0,
129,1,0,0.000819000819000819,0.0,
33,1,0,0.000819000819000819,0.0,
282,1,0,0.000819000819000819,0.0,
99,1,0,0.000819000819000819,0.0,
174,6,0,0.004914004914004914,0.0,
149,2,0,0.001638001638001638,0.0,
107,1,0,0.000819000819000819,0.0,
229,1,0,0.000819000819000819,0.0,
353,1,0,0.000819000819000819,0.0,
110,1,0,0.000819000819000819,0.0,
30,1,0,0.000819000819000819,0.0,
349,1,0,0.000819000819000819,0.0,
240,1,0,0.000819000819000819,0.0,
