word,tfidf_poetry,tfidf_prose,diff_poetry_minus_prose,characteristic_of
eranna,0.04655784871114554,0.0009989552009812515,0.04555889351016429,poetry
gorgo,0.03201048537167687,0.0006708875509241858,0.031339597820752685,poetry
lyre,0.023365154970345213,0.0,0.023365154970345213,poetry
fleur,0.020861015990616103,0.0,0.020861015990616103,poetry
anyta,0.01914333247334895,0.0,0.01914333247334895,poetry
beaux,0.02046714435178096,0.00142470320891686,0.019042441142864103,poetry
lesbos,0.021166722624712943,0.0021405018570612782,0.019026220767651664,poetry
chœurs,0.01879052613457299,0.0,0.01879052613457299,poetry
eros,0.018549334431276716,0.0,0.018549334431276716,poetry
rythme,0.025875027162392684,0.008322249482171912,0.017552777680220774,poetry
nuit,0.02169999485637064,0.004404165625266528,0.017295829231104114,poetry
ου,0.016595103924520703,0.0,0.016595103924520703,poetry
triompha,0.0164232107346381,0.0,0.0164232107346381,poetry
korinna,0.016263886442877244,0.0,0.016263886442877244,poetry
chere,0.018428250485935105,0.002198937591974138,0.016229312893960967,poetry
levres,0.018541980784766585,0.003140606853364164,0.01540137393140242,poetry
graces,0.015067347011953138,0.0,0.015067347011953138,poetry
mer,0.015056876669781142,0.0,0.015056876669781142,poetry
odes,0.015745962215208416,0.001393371411441893,0.014352590803766522,poetry
sappho,0.01574218131134307,0.0017072061209465197,0.01403497519039655,poetry
erinna,0.013926087452142076,0.0,0.013926087452142076,poetry
etrangere,0.013647885908462071,0.0,0.013647885908462071,poetry
sourire,0.015663581939829502,0.0027845856389823774,0.012878996300847125,poetry
mousarion,0.012730026971365577,0.0,0.012730026971365577,poetry
harmonieuse,0.012601033577950038,0.0,0.012601033577950038,poetry
cite,0.012516556948985765,0.0,0.012516556948985765,poetry
chants,0.013881955436241288,0.0014445867227916235,0.012437368713449665,poetry
vent,0.012185191637011136,0.0,0.012185191637011136,poetry
mourir,0.012133006475682283,0.0,0.012133006475682283,poetry
lys,0.012024055905896114,0.0,0.012024055905896114,poetry
melcy,0.0,0.026802033975605988,-0.026802033975605988,prose
christian,0.0,0.024756814746665457,-0.024756814746665457,prose
idylle,0.0,0.015845221634848028,-0.015845221634848028,prose
amie,0.0,0.014170159004399753,-0.014170159004399753,prose
faire,0.0,0.014065207500738735,-0.014065207500738735,prose
faustine,0.0,0.013706129661643113,-0.013706129661643113,prose
belle,0.0013983205207388513,0.015100061591619153,-0.013701741070880302,prose
alors,0.0022614351491152583,0.01567120105645854,-0.013409765907343281,prose
cage,0.0,0.012937357723675108,-0.012937357723675108,prose
encore,0.0030346181475166003,0.015550957147767134,-0.012516339000250534,prose
oui,0.0,0.011574523951097466,-0.011574523951097466,prose
dompteuse,0.0,0.011540789758377072,-0.011540789758377072,prose
chapitre,0.0,0.011531050371685319,-0.011531050371685319,prose
voir,0.0,0.011494350406933411,-0.011494350406933411,prose
deux,0.0008955387917612138,0.011785924656014267,-0.010890385864253053,prose
sirenes,0.0,0.010656707028131387,-0.010656707028131387,prose
panthere,0.0,0.010544693588787379,-0.010544693588787379,prose
martial,0.0,0.010232750395077232,-0.010232750395077232,prose
homme,0.0,0.010209978201284471,-0.010209978201284471,prose
pres,0.0,0.010133202975662644,-0.010133202975662644,prose
cause,0.0,0.010000496446984473,-0.010000496446984473,prose
malgre,0.0,0.009981095446360399,-0.009981095446360399,prose
mirah,0.0,0.009311420228674486,-0.009311420228674486,prose
sapho,0.005862143125742802,0.01500629812065225,-0.009144154994909448,prose
terre,0.0,0.009137567727266515,-0.009137567727266515,prose
betes,0.0,0.008918533441537877,-0.008918533441537877,prose
petite,0.0012567671556831122,0.010110257394334814,-0.008853490238651701,prose
tete,0.0019079460049771758,0.01066228931099679,-0.008754343306019614,prose
fauves,0.0,0.008711738936863007,-0.008711738936863007,prose
fauve,0.0,0.008638373659654884,-0.008638373659654884,prose
